,load_vm_pu,load_va_deg,gen_va_deg,load_gen_va_deg,va_degree,q_mvar
0,0.090453125,0.018453125,0.0,0.0292,0.021324786324786325,0.0015128205128205128
1,0.391765625,0.038703125,0.0,0.06148888888888889,0.04482051282051282,0.002948717948717949
2,0.568,0.058234375,0.0,0.09264444444444445,0.06748717948717949,0.004435897435897436
3,0.629453125,0.076578125,0.0,0.12417777777777778,0.08964957264957266,0.005803418803418803
4,0.76209375,0.0955,0.0,0.15524444444444443,0.11194871794871795,0.007
5,0.900953125,0.114125,0.0,0.18697777777777777,0.13434188034188035,0.008
6,0.9616875,0.132984375,0.000125,0.21811111111111112,0.15664102564102564,0.009042735042735043
7,1.0,0.15190625,0.00075,0.25266666666666665,0.18032478632478632,0.009974358974358975
8,1.0,0.17171875,0.00325,0.2885333333333333,0.20512820512820512,0.010794871794871794
9,1.0,0.191703125,0.0085,0.3248,0.23036752136752137,0.011521367521367521
10,1.0,0.211171875,0.016375,0.35873333333333335,0.2546068376068376,0.012205128205128205
11,1.0,0.2300625,0.030625,0.39126666666666665,0.27842735042735045,0.013094017094017094
12,1.0,0.24965625,0.047,0.4239111111111111,0.3028205128205128,0.013914529914529914
13,1.0,0.26809375,0.069625,0.45153333333333334,0.3250769230769231,0.014717948717948718
14,1.0,0.288171875,0.093,0.47604444444444444,0.3470854700854701,0.015504273504273504
15,1.0,0.311578125,0.1145,0.4956,0.36888034188034186,0.016153846153846154
16,1.0,0.33653125,0.136375,0.5108444444444444,0.3898888888888889,0.016735042735042734
17,1.0,0.362875,0.159,0.5256888888888889,0.41155555555555556,0.017367521367521368
18,1.0,0.390484375,0.183,0.5399333333333334,0.43377777777777776,0.017914529914529916
19,1.0,0.417921875,0.207,0.5557111111111112,0.4564957264957265,0.0184017094017094
20,1.0,0.444375,0.234875,0.5697111111111111,0.47825641025641025,0.018863247863247862
21,1.0,0.469046875,0.262375,0.5848,0.49943589743589745,0.019222222222222224
22,1.0,0.492328125,0.29225,0.5980222222222222,0.5192991452991453,0.019555555555555555
23,1.0,0.51553125,0.322625,0.6130222222222222,0.5398376068376068,0.01994871794871795
24,1.0,0.53703125,0.353125,0.6253555555555556,0.5584273504273505,0.02041880341880342
25,1.0,0.558609375,0.386,0.6378444444444444,0.5772820512820512,0.020752136752136753
26,1.0,0.579078125,0.411,0.6498888888888888,0.5948205128205128,0.021239316239316238
27,1.0,0.598546875,0.4325,0.6626222222222222,0.6118376068376068,0.02169230769230769
28,1.0,0.61609375,0.45775,0.6741333333333334,0.6275897435897436,0.022042735042735042
29,1.0,0.6311875,0.483875,0.6855111111111111,0.642008547008547,0.02252991452991453
30,1.0,0.64396875,0.514125,0.6949777777777778,0.6547094017094017,0.022957264957264956
31,1.0,0.65584375,0.546625,0.7056,0.6675128205128205,0.023333333333333334
32,1.0,0.666609375,0.577625,0.7153333333333334,0.6792649572649573,0.023717948717948717
33,1.0,0.675703125,0.602375,0.7237111111111111,0.6891538461538461,0.02411111111111111
34,1.0,0.685296875,0.63075,0.7321777777777778,0.6995982905982906,0.024487179487179486
35,1.0,0.694421875,0.66,0.7390444444444444,0.7092307692307692,0.024863247863247864
36,1.0,0.702671875,0.687375,0.7466,0.7185213675213675,0.02529059829059829
37,1.0,0.709921875,0.712625,0.7535111111111111,0.7268717948717949,0.025632478632478632
38,1.0,0.71734375,0.734625,0.7606888888888889,0.7351965811965812,0.025982905982905983
39,1.0,0.7239375,0.755375,0.7675111111111111,0.7428461538461538,0.0262991452991453
40,1.0,0.730203125,0.77225,0.7740888888888889,0.749957264957265,0.026598290598290598
41,1.0,0.7363125,0.785625,0.7806222222222222,0.7567264957264958,0.026905982905982905
42,1.0,0.74253125,0.7965,0.7877333333333333,0.7636068376068376,0.027897435897435898
43,1.0,0.7489375,0.802875,0.7936888888888889,0.7698376068376068,0.029683760683760683
44,1.0,0.75534375,0.809625,0.7993333333333333,0.775974358974359,0.030786324786324787
45,1.0,0.761796875,0.8145,0.8054444444444444,0.7821880341880342,0.031615384615384615
46,1.0,0.76834375,0.81975,0.8112666666666667,0.7883675213675214,0.03300854700854701
47,1.0,0.774515625,0.823875,0.8165111111111111,0.794042735042735,0.034512820512820515
48,1.0,0.781171875,0.828,0.8212888888888888,0.7998034188034188,0.03517094017094017
49,1.0,0.78771875,0.82975,0.8262,0.8053931623931624,0.03594017094017094
50,1.0,0.793890625,0.831875,0.8300666666666666,0.8104017094017094,0.03668376068376068
51,1.0,0.799953125,0.8355,0.8340666666666666,0.8155042735042735,0.03751282051282051
52,1.0,0.805609375,0.83825,0.8376888888888889,0.8201794871794872,0.03885470085470086
53,1.0,0.811234375,0.8405,0.8416444444444444,0.8249316239316239,0.03907692307692308
54,1.0,0.816578125,0.8435,0.8462444444444445,0.8298290598290599,0.039393162393162394
55,1.0,0.82178125,0.8465,0.8504888888888888,0.8345128205128205,0.03982905982905983
56,1.0,0.827046875,0.84825,0.8543777777777778,0.839008547008547,0.04042735042735043
57,1.0,0.832296875,0.85075,0.8592444444444445,0.8439230769230769,0.04131623931623932
58,1.0,0.83753125,0.854375,0.8636222222222222,0.8487179487179487,0.04228205128205128
59,1.0,0.842515625,0.860625,0.8688,0.8538632478632479,0.04384615384615385
60,1.0,0.848015625,0.86975,0.8737333333333334,0.8593931623931624,0.04511965811965812
61,1.0,0.85296875,0.882,0.8788444444444444,0.8649059829059829,0.046128205128205126
62,1.0,0.857890625,0.896125,0.8833777777777778,0.8703076923076923,0.047094017094017095
63,1.0,0.862453125,0.91225,0.8879333333333334,0.8756581196581197,0.0481965811965812
64,1.0,0.867625,0.92725,0.8923777777777778,0.8812222222222222,0.04945299145299145
65,1.0,0.872765625,0.94225,0.8962,0.8865299145299145,0.05058119658119658
66,1.0,0.878046875,0.954625,0.8996444444444445,0.8915897435897436,0.05108547008547008
67,1.0,0.882765625,0.966625,0.9026666666666666,0.8961538461538462,0.05139316239316239
68,1.0,0.8875,0.975625,0.9057555555555555,0.9005470085470085,0.05168376068376068
69,1.0,0.89203125,0.983375,0.9084888888888889,0.9046068376068376,0.051931623931623934
70,1.0,0.8969375,0.989125,0.9111333333333334,0.9087008547008547,0.052418803418803415
71,1.0,0.9016875,0.99225,0.9134888888888889,0.9124188034188034,0.05299145299145299
72,1.0,0.906296875,0.995125,0.9162222222222223,0.9161880341880342,0.05394017094017094
73,1.0,0.910984375,0.9965,0.9193555555555556,0.9200512820512821,0.055282051282051284
74,1.0,0.91565625,0.997,0.9219777777777778,0.9236495726495727,0.05671794871794872
75,1.0,0.9204375,0.99725,0.9238666666666666,0.927008547008547,0.05829059829059829
76,1.0,0.9245625,0.99775,0.9264222222222223,0.9302820512820513,0.06005982905982906
77,1.0,0.928578125,0.9985,0.9288,0.9334444444444444,0.06151282051282051
78,1.0,0.932578125,0.998875,0.9318222222222222,0.9368205128205128,0.06254700854700855
79,1.0,0.93640625,0.99925,0.9344888888888889,0.939965811965812,0.06328205128205128
80,1.0,0.9403125,0.99925,0.9376,0.9432991452991453,0.06371794871794872
81,1.0,0.944484375,0.99975,0.9406888888888889,0.9468034188034188,0.06435897435897436
82,1.0,0.948703125,0.99975,0.9436222222222223,0.9502393162393162,0.06485470085470085
83,1.0,0.953,0.99975,0.9467111111111111,0.9537777777777777,0.06533333333333333
84,1.0,0.957734375,0.99975,0.9493333333333334,0.9573760683760684,0.06598290598290599
85,1.0,0.96184375,0.99975,0.9520444444444445,0.9606666666666667,0.06660683760683761
86,1.0,0.965546875,0.999875,0.9541777777777778,0.9635213675213675,0.06725641025641026
87,1.0,0.968828125,1.0,0.9560888888888889,0.966059829059829,0.06800854700854701
88,1.0,0.972046875,1.0,0.9577555555555556,0.9684615384615385,0.06895726495726495
89,1.0,0.9749375,1.0,0.9594888888888888,0.9707094017094017,0.06974358974358974
90,1.0,0.976921875,1.0,0.9612444444444445,0.9724700854700855,0.07073504273504273
91,1.0,0.978546875,1.0,0.9625333333333334,0.9738547008547008,0.07165811965811966
92,1.0,0.979734375,1.0,0.9646,0.9752991452991453,0.07271794871794872
93,1.0,0.9805625,1.0,0.9666666666666667,0.9765470085470086,0.07377777777777778
94,1.0,0.981296875,1.0,0.9683555555555555,0.9775982905982906,0.07487179487179488
95,1.0,0.982,1.0,0.9697333333333333,0.9785128205128205,0.07576923076923077
96,1.0,0.98284375,1.0,0.9711777777777778,0.9795299145299146,0.07692307692307693
97,1.0,0.983640625,1.0,0.9726666666666667,0.9805384615384616,0.07799145299145299
98,1.0,0.98428125,1.0,0.9737333333333333,0.9812991452991453,0.07908547008547008
99,1.0,0.984859375,1.0,0.9746888888888889,0.9819829059829059,0.08005982905982906
